,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,days_in_waiting_list,different_room_assigned,is_canceled
3,13,2015,27,1,0,False,False
4,14,2015,27,1,0,False,False
5,14,2015,27,1,0,False,False
7,9,2015,27,1,0,False,False
8,85,2015,27,1,0,False,True
9,75,2015,27,1,0,False,True
10,23,2015,27,1,0,False,True
11,35,2015,27,1,0,False,False
12,68,2015,27,1,0,True,False
13,18,2015,27,1,0,False,False
14,37,2015,27,1,0,False,False
15,68,2015,27,1,0,True,False
16,37,2015,27,1,0,False,False
17,12,2015,27,1,0,True,False
19,7,2015,27,1,0,False,False
20,37,2015,27,1,0,False,False
21,72,2015,27,1,0,False,False
22,72,2015,27,1,0,False,False
23,72,2015,27,1,0,False,False
24,127,2015,27,1,0,True,False
25,78,2015,27,1,0,False,False
26,48,2015,27,1,0,False,False
27,60,2015,27,1,0,False,True
28,77,2015,27,1,0,False,False
29,99,2015,27,1,0,False,False
31,95,2015,27,1,0,False,False
33,69,2015,27,2,0,True,False
34,45,2015,27,2,0,False,True
35,40,2015,27,2,0,False,True
36,15,2015,27,2,0,True,False
37,36,2015,27,2,0,False,False
38,43,2015,27,2,0,False,True
39,70,2015,27,2,0,False,False
40,45,2015,27,2,0,False,True
41,45,2015,27,2,0,False,False
43,70,2015,27,2,0,False,False
44,107,2015,27,2,0,False,False
45,47,2015,27,2,0,False,True
46,96,2015,27,2,0,False,False
47,113,2015,27,2,0,False,False
48,90,2015,27,2,0,True,False
49,50,2015,27,2,0,True,False
50,113,2015,27,2,0,False,False
51,93,2015,27,2,0,False,False
52,76,2015,27,2,0,False,False
53,3,2015,27,2,0,True,False
54,1,2015,27,2,0,False,False
57,0,2015,27,2,0,True,False
59,14,2015,27,2,0,True,False
60,10,2015,27,2,0,False,False
61,5,2015,27,2,0,False,False
62,17,2015,27,2,0,False,False
63,93,2015,27,2,0,True,False
64,3,2015,27,2,0,False,True
65,10,2015,27,3,0,True,False
66,3,2015,27,3,0,True,False
67,51,2015,27,3,0,False,False
68,71,2015,27,3,0,False,True
69,63,2015,27,3,0,False,True
70,62,2015,27,3,0,False,True
71,101,2015,27,3,0,False,True
72,2,2015,27,3,0,False,False
73,15,2015,27,3,0,False,False
74,51,2015,27,3,0,False,True
75,3,2015,27,3,0,False,False
76,48,2015,27,3,0,False,True
77,2,2015,27,3,0,False,False
78,72,2015,27,3,0,False,False
79,81,2015,27,3,0,False,False
80,99,2015,27,3,0,False,False
81,368,2015,27,3,0,False,True
82,364,2015,27,3,0,False,False
83,81,2015,27,3,0,False,True
84,99,2015,27,3,0,False,False
85,324,2015,27,3,0,False,False
86,69,2015,27,3,0,False,False
87,79,2015,27,3,0,False,True
88,12,2015,27,3,0,True,False
89,9,2015,27,3,0,True,False
90,1,2015,27,3,0,True,False
91,21,2015,27,3,0,False,False
92,9,2015,27,3,0,False,False
93,109,2015,27,3,0,False,False
94,109,2015,27,3,0,False,True
95,72,2015,27,3,0,False,True
96,63,2015,27,3,0,False,True
97,63,2015,27,3,0,False,False
98,101,2015,27,3,0,False,False
99,102,2015,27,3,0,False,False
100,4,2015,27,4,0,True,False
101,98,2015,27,4,0,False,False
102,92,2015,27,4,0,False,False
103,95,2015,27,4,0,True,False
104,102,2015,27,4,0,False,False
105,26,2015,27,4,0,False,True
106,73,2015,27,4,0,False,True
107,102,2015,27,4,0,False,True
108,115,2015,27,4,0,False,False
109,102,2015,27,4,0,False,False
110,86,2015,27,4,0,False,False
111,78,2015,27,4,0,True,False
112,52,2015,27,4,0,False,False
113,29,2015,27,4,0,False,False
114,101,2015,27,4,0,False,True
115,109,2015,27,4,0,False,False
116,92,2015,27,4,0,False,False
117,92,2015,27,4,0,False,False
118,79,2015,27,4,0,False,False
119,2,2015,27,4,0,True,False
120,30,2015,27,4,0,True,False
121,51,2015,27,4,0,False,True
122,36,2015,27,4,0,True,True
123,73,2015,27,4,0,False,True
124,33,2015,27,4,0,False,True
126,8,2015,27,4,0,False,False
127,100,2015,27,4,0,True,False
128,1,2015,27,4,0,False,False
129,100,2015,27,4,0,False,False
130,100,2015,27,4,0,True,False
131,9,2015,28,5,0,True,False
132,5,2015,28,5,0,False,True
133,0,2015,28,5,0,True,False
134,9,2015,28,5,0,False,False
135,2,2015,28,5,0,True,False
136,2,2015,28,5,0,True,False
137,9,2015,28,5,0,False,False
138,5,2015,28,5,0,False,True
140,44,2015,28,5,0,False,False
141,80,2015,28,5,0,True,False
142,97,2015,28,5,0,False,False
143,109,2015,28,5,0,True,False
144,30,2015,28,5,0,False,False
145,64,2015,28,5,0,False,False
146,39,2015,28,5,0,False,False
147,90,2015,28,5,0,False,False
148,34,2015,28,5,0,False,True
149,93,2015,28,5,0,False,True
150,97,2015,28,5,0,False,False
151,29,2015,28,5,0,False,False
152,101,2015,28,5,0,False,True
153,27,2015,28,5,0,False,False
154,8,2015,28,5,0,False,False
155,82,2015,28,5,0,False,False
157,110,2015,28,5,0,False,False
158,96,2015,28,5,0,False,False
159,79,2015,28,5,0,False,False
160,115,2015,28,6,0,False,False
161,111,2015,28,6,0,True,False
162,51,2015,28,6,0,False,False
163,94,2015,28,6,0,False,False
164,81,2015,28,6,0,False,False
165,84,2015,28,6,0,True,False
166,51,2015,28,6,0,False,False
167,111,2015,28,6,0,True,False
168,0,2015,28,6,0,True,False
170,7,2015,28,6,0,True,False
171,98,2015,28,6,0,True,False
172,95,2015,28,6,0,False,False
173,48,2015,28,6,0,False,True
174,66,2015,28,6,0,True,False
175,104,2015,28,6,0,True,False
176,28,2015,28,6,0,False,False
177,34,2015,28,6,0,False,False
178,98,2015,28,6,0,True,False
179,104,2015,28,6,0,False,False
180,68,2015,28,6,0,False,False
181,86,2015,28,6,0,False,True
182,258,2015,28,6,0,False,False
183,111,2015,28,6,0,True,False
184,94,2015,28,6,0,False,True
185,112,2015,28,6,0,False,False
186,100,2015,28,6,0,False,False
187,33,2015,28,6,0,False,False
188,97,2015,28,6,0,False,False
190,90,2015,28,6,0,False,False
191,111,2015,28,6,0,False,False
192,65,2015,28,6,0,False,False
193,67,2015,28,7,0,False,True
194,55,2015,28,7,0,False,False
195,21,2015,28,7,0,False,False
197,8,2015,28,7,0,True,False
198,0,2015,28,7,0,False,False
200,0,2015,28,7,0,False,False
201,8,2015,28,7,0,False,False
202,66,2015,28,7,0,False,False
203,88,2015,28,7,0,True,False
205,43,2015,28,7,0,False,True
206,88,2015,28,7,0,False,True
207,54,2015,28,7,0,False,False
208,292,2015,28,7,0,False,True
209,112,2015,28,7,0,False,False
210,68,2015,28,8,0,False,False
211,7,2015,28,8,0,False,False
212,1,2015,28,8,0,False,False
213,113,2015,28,8,0,False,True
214,5,2015,28,8,0,False,False
215,83,2015,28,8,0,False,False
216,105,2015,28,8,0,False,True
217,0,2015,28,8,0,False,False
221,102,2015,28,8,0,False,True
222,113,2015,28,8,0,False,False
223,280,2015,28,8,0,False,True
224,96,2015,28,8,0,True,False
225,394,2015,28,8,0,False,False
226,33,2015,28,8,0,False,False
227,82,2015,28,8,0,False,False
228,100,2015,28,8,0,False,False
229,100,2015,28,8,0,False,False
230,17,2015,28,9,0,False,False
231,68,2015,28,9,0,True,False
233,77,2015,28,9,0,False,True
234,24,2015,28,9,0,False,True
235,44,2015,28,9,0,False,True
236,78,2015,28,9,0,False,False
237,17,2015,28,9,0,False,True
238,103,2015,28,9,0,False,True
239,16,2015,28,9,0,False,False
240,14,2015,28,9,0,False,False
241,77,2015,28,9,0,False,False
242,90,2015,28,9,0,True,False
243,90,2015,28,9,0,False,False
244,90,2015,28,9,0,False,False
245,366,2015,28,9,0,False,False
246,249,2015,28,9,0,False,False
247,69,2015,28,9,0,False,True
248,10,2015,28,10,0,False,False
249,22,2015,28,10,0,False,False
250,91,2015,28,10,0,False,False
251,23,2015,28,10,0,False,False
252,11,2015,28,10,0,False,False
253,3,2015,28,10,0,False,False
254,13,2015,28,10,0,False,False
255,108,2015,28,10,0,False,False
256,91,2015,28,10,0,False,False
257,37,2015,28,10,0,False,False
258,21,2015,28,10,0,True,False
259,106,2015,28,10,0,False,False
262,51,2015,28,10,0,False,True
263,79,2015,28,10,0,False,False
264,21,2015,28,10,0,False,False
265,35,2015,28,10,0,False,False
266,78,2015,28,10,0,False,False
267,31,2015,28,10,0,False,False
268,78,2015,28,10,0,False,False
269,78,2015,28,10,0,False,False
270,44,2015,28,10,0,False,False
271,34,2015,28,10,0,False,False
272,87,2015,28,10,0,False,False
273,11,2015,28,10,0,False,False
274,115,2015,28,10,0,False,False
275,86,2015,28,10,0,False,False
276,41,2015,28,10,0,False,False
277,32,2015,28,10,0,False,False
278,34,2015,28,10,0,False,False
279,34,2015,28,10,0,False,False
280,100,2015,28,11,0,False,True
281,44,2015,28,11,0,False,False
282,304,2015,28,11,0,False,False
283,36,2015,28,11,0,False,True
284,117,2015,28,11,0,False,False
285,70,2015,28,11,0,False,False
286,110,2015,28,11,0,False,False
287,109,2015,28,11,0,False,True
288,33,2015,28,11,0,False,False
289,33,2015,28,11,0,False,False
290,33,2015,28,11,0,False,False
292,0,2015,28,11,0,False,False
294,0,2015,28,11,0,False,False
296,71,2015,28,11,0,False,False
297,16,2015,28,11,0,False,False
298,54,2015,28,11,0,True,False
299,8,2015,28,11,0,False,False
300,36,2015,28,11,0,False,False
301,40,2015,28,11,0,False,False
302,59,2015,28,11,0,False,True
303,79,2015,28,11,0,False,False
304,32,2015,28,11,0,False,False
305,110,2015,28,11,0,False,False
306,33,2015,28,11,0,False,False
307,53,2015,29,12,0,False,False
308,2,2015,29,12,0,False,False
309,8,2015,29,12,0,False,False
310,72,2015,29,12,0,False,True
311,12,2015,29,12,0,False,False
312,48,2015,29,12,0,False,False
